"","pid","W1_Paranoia1","W1_Paranoia2","W1_Paranoia3","W1_Paranoia4","W1_Paranoia5","W1_Paranoia_Total","W1_Conspiracy_1","W1_Conspiracy_2","W1_Conspiracy_3","W1_Conspiracy_4","W1_Conspiracy_5","W1_Conspiracy_Total","W1_Religion_binary","W1_ReligiousBelief_Total","W1_ReligiousBelief1","W1_ReligiousBelief2","W1_ReligiousBelief3","W1_ReligiousBelief4","W1_ReligiousBelief5","W1_ReligiousBelief6","W1_ReligiousBelief7","W1_ReligiousBelief8","W1_ReligiousBelief2_R","W1_ReligiousBelief4_R","W1_ReligiousBelief6_R","W1_ReligiousBelief8_R","W1_Political_Scale","W1_Nationalism1","W1_Nationalism2","W1_Nationalism_Total","W1_Death_Anxiety_Total","W1_DAI1","W1_DAI2","W1_DAI3","W1_DAI4","W1_DAI5","W1_DAI6","W1_DAI7","W1_DAI8","W1_DAI9","W1_DAI10","W1_DAI11","W1_DAI12","W1_DAI13","W1_DAI14","W1_DAI15","W1_DAI16","W1_DAI17","W1_CRT1","W1_CRT2","W1_CRT3","W1_CRT4","W1_CRT5","W1_ReligiousBelief1_R","W1_ReligiousBelief3_R","W1_ReligiousBelief5_R","W1_ReligiousBelief7_R","W1_TotalCRT","W1_Gender","W1_Age_year","W1_Age_categories"
"628",1490678735,1,1,1,1,1,5,8,9,6,6,7,36,1,30,2,3,3,1,3,1,5,2,3,5,5,4,5,3,4,7,22,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,2,2,2,4,3,4,3,3,1,0,2,75,6
"629",1490680056,3,3,3,3,3,15,10,11,6,6,2,35,1,34,5,2,5,1,5,2,5,5,4,5,4,1,6,3,3,6,48,2,4,4,1,4,4,4,5,1,4,4,3,1,1,1,1,4,2,4,1,4,2,1,1,1,1,2,1,54,4
"630",1490680184,2,3,4,4,3,16,4,5,6,6,7,28,1,24,3,3,3,3,4,4,4,4,3,3,2,2,3,3,4,7,54,2,2,2,2,3,3,3,3,4,4,4,3,3,4,4,4,4,2,1,2,2,2,3,3,2,2,3,1,37,3
"631",1490680407,4,5,5,4,4,22,3,11,11,11,11,47,1,36,5,1,5,1,5,1,1,1,5,5,5,5,5,5,5,10,82,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,2,2,1,4,3,1,1,1,5,1,2,55,5
"633",1490681588,2,4,2,1,2,11,7,7,7,5,6,32,0,37,4,2,5,1,5,2,5,1,4,5,4,5,2,3,3,6,29,3,1,3,1,1,1,1,4,1,1,1,1,1,3,1,3,2,2,4,2,4,3,2,1,1,1,0,1,67,6
"635",1490682066,5,5,5,5,5,25,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,10,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,1,53,4
"636",1490682235,2,1,1,1,1,6,9,9,6,4,6,34,0,23,4,5,5,5,5,5,5,5,1,1,1,1,4,1,2,3,24,2,1,2,1,1,1,1,3,2,1,1,1,1,1,1,3,1,2,2,2,4,2,2,1,1,1,1,2,30,2
"638",1490684230,1,2,2,1,1,7,9,7,2,1,1,20,0,38,3,1,5,1,5,1,5,1,5,5,5,5,5,5,5,10,28,1,1,1,1,1,1,1,4,1,1,2,1,1,1,5,3,2,1,1,1,2,3,3,1,1,1,4,1,44,3
"639",1490684257,1,3,3,1,3,11,7,6,6,6,7,32,1,23,1,4,3,2,3,3,3,2,2,4,3,4,5,5,5,10,50,4,1,2,3,2,2,1,3,4,2,5,3,5,2,4,4,3,2,2,1,4,3,5,3,3,3,1,2,70,6
"640",1490684270,4,1,1,1,3,10,7,8,4,3,5,27,0,32,4,3,4,1,4,1,4,3,3,5,5,3,7,4,4,8,37,1,1,2,3,4,2,2,4,2,2,3,2,2,1,2,2,2,1,1,4,2,3,2,2,2,2,3,1,69,6
"641",1490684318,2,4,3,2,4,15,3,3,7,3,3,19,1,17,2,4,2,3,1,4,3,4,2,3,2,2,5,2,3,5,47,2,3,2,3,3,2,2,4,4,2,4,4,2,2,2,4,2,2,2,2,4,2,4,4,5,3,1,2,55,5
"642",1490685376,1,1,1,1,1,5,8,9,8,8,7,40,0,24,3,3,3,3,3,3,3,3,3,3,3,3,7,4,5,9,25,2,1,1,1,3,1,1,3,1,1,1,3,1,1,1,2,1,2,2,2,4,2,3,3,3,3,1,1,67,6
"643",1490685944,1,3,4,1,3,12,7,9,6,5,8,35,1,23,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,6,56,3,2,3,4,4,4,4,5,3,3,3,3,2,3,4,3,3,2,3,2,2,2,4,3,3,3,2,2,49,4
"644",1490686131,2,5,3,2,4,16,11,8,7,6,9,41,1,17,2,4,2,4,2,3,2,4,2,2,3,2,5,2,2,4,44,4,2,2,2,2,1,2,5,3,2,2,4,2,2,3,4,2,2,2,1,2,2,4,4,4,4,3,2,22,1
"645",1490686672,2,3,5,4,5,19,8,8,6,6,9,37,1,23,3,2,2,3,3,3,2,3,4,3,3,3,10,4,4,8,60,4,5,4,2,5,4,3,4,5,5,5,2,2,2,1,3,4,2,4,2,4,3,3,4,3,4,0,1,34,2
"646",1490688137,1,1,4,2,2,10,10,9,8,9,7,43,1,32,3,1,4,2,4,2,4,2,5,4,4,4,8,4,5,9,32,3,1,4,3,4,1,1,2,2,2,1,1,1,1,1,3,1,2,2,2,2,2,3,2,2,2,2,1,28,2
"647",1490688973,2,1,1,1,1,6,9,8,4,6,7,34,1,26,4,2,4,2,4,4,3,5,4,4,2,1,8,2,4,6,22,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,2,2,3,1,2,73,6
"648",1490689040,4,3,3,4,4,18,9,8,7,8,6,38,1,33,3,3,5,1,5,4,5,1,3,5,2,5,5,4,4,8,62,4,4,4,3,5,3,3,4,4,3,4,4,3,3,4,4,3,2,1,1,2,2,3,1,1,1,4,1,41,3
"649",1490690548,1,2,4,1,4,12,8,7,5,4,4,28,0,31,3,2,4,2,4,2,4,2,4,4,4,4,7,4,4,8,31,2,2,2,2,2,1,2,4,2,2,1,2,1,1,2,2,1,2,2,2,2,2,3,2,2,2,2,1,48,4
"650",1490690809,4,5,3,3,5,20,7,8,6,6,2,29,0,35,4,2,4,1,5,3,5,1,4,5,3,5,5,2,3,5,49,2,3,4,3,5,3,1,5,3,2,4,2,3,2,1,2,4,2,2,2,2,2,2,2,1,1,2,1,52,4
"651",1490690831,2,3,4,3,3,15,4,9,7,9,10,39,0,38,5,2,5,1,5,2,5,1,4,5,4,5,3,1,1,2,50,2,3,4,3,2,4,3,2,4,5,3,4,2,3,2,1,3,2,2,2,2,3,1,1,1,1,1,1,31,2
"653",1490691366,1,3,2,3,1,10,11,8,4,4,3,30,0,36,5,1,5,1,5,3,5,3,5,5,3,3,3,1,3,4,20,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,5,1,57,5
"654",1490691401,1,1,1,1,1,5,5,5,2,4,1,17,1,26,2,5,3,2,4,2,5,3,1,4,4,3,8,3,4,7,29,3,1,2,3,1,1,1,3,1,1,1,1,1,1,4,3,1,2,3,2,4,3,4,3,2,1,0,1,42,3
"655",1490691550,2,2,2,2,2,10,7,5,5,5,5,27,0,28,4,3,4,2,4,4,4,3,3,4,2,3,4,4,4,8,38,3,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,1,1,1,2,2,2,2,2,2,5,1,30,2
"656",1490691577,5,5,5,5,5,25,10,10,9,10,10,49,1,24,1,1,1,1,1,1,1,1,5,5,5,5,10,4,4,8,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,4,3,5,5,5,5,1,2,59,5
"657",1490692023,4,2,2,1,2,11,10,10,9,9,9,47,0,39,5,1,4,1,5,1,5,1,5,5,5,5,4,2,2,4,31,2,1,1,2,3,3,3,2,4,3,1,1,1,1,1,1,1,2,2,2,4,2,1,2,1,1,1,1,54,4
"658",1490692583,1,1,1,1,1,5,11,7,3,8,5,34,1,25,5,3,4,5,1,2,4,3,3,1,4,3,2,4,4,8,52,4,2,1,4,4,3,4,2,4,4,4,1,4,2,2,4,3,2,4,1,2,2,1,2,5,2,3,1,55,5
"660",1490693039,3,3,3,2,2,13,6,7,6,4,3,26,1,24,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,6,54,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,1,1,4,1,1,3,3,3,3,2,1,34,2
"661",1490693452,2,5,4,4,5,20,4,6,6,3,9,28,0,31,3,2,5,1,3,4,5,2,4,5,2,4,2,2,2,4,27,3,1,2,2,1,1,1,4,1,1,2,1,1,1,1,3,1,2,1,1,2,2,3,1,3,1,4,2,37,3
"662",1490694157,5,5,5,5,5,25,11,11,11,10,11,54,0,28,5,5,5,5,5,5,5,1,1,1,1,5,1,5,5,10,82,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,2,2,4,3,1,1,1,1,0,2,32,2
"663",1490694322,3,2,3,1,3,12,8,8,6,3,3,28,0,32,3,2,5,1,3,3,4,1,4,5,3,5,3,3,4,7,51,3,3,3,3,4,3,3,4,3,4,2,3,3,2,2,3,3,1,1,1,4,3,3,1,3,2,3,1,48,4
"664",1490694365,2,4,4,2,2,14,7,7,7,9,9,39,1,29,4,3,4,2,4,4,4,2,3,4,2,4,9,3,4,7,66,4,2,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,2,2,4,2,2,2,2,2,1,1,65,6
"665",1490694754,1,4,3,3,4,15,11,11,7,9,9,47,0,34,5,1,5,3,5,5,5,1,5,3,1,5,5,4,4,8,27,1,3,1,3,1,1,1,5,1,1,1,1,1,1,1,3,1,2,2,2,4,3,1,1,1,1,0,1,56,5
"666",1490694951,4,5,5,5,4,23,10,10,10,10,10,50,1,24,2,3,3,2,2,2,2,2,3,4,4,4,4,2,2,4,52,2,4,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,1,2,2,3,4,3,4,4,2,1,35,3
"667",1490695636,2,1,2,1,3,9,9,9,10,8,8,44,0,30,5,1,3,2,2,2,3,2,5,4,4,4,6,2,3,5,60,4,2,3,4,4,4,4,5,4,4,4,2,2,1,5,4,4,1,1,1,2,2,1,3,4,3,5,1,61,5
"668",1490695926,4,1,3,1,5,14,3,8,6,3,5,25,1,24,4,5,4,1,2,4,2,2,1,5,2,4,4,3,5,8,48,3,1,1,2,3,1,4,3,5,3,2,4,5,3,3,2,3,2,2,1,2,3,2,2,4,4,2,2,25,2
"670",1490696389,4,1,1,1,1,8,6,6,6,6,6,30,1,30,5,3,2,1,2,3,5,1,3,5,3,5,5,4,3,7,35,5,1,5,1,3,1,1,5,1,1,1,1,1,1,5,1,1,2,2,1,4,3,1,4,4,1,1,2,54,4
"671",1490697535,1,3,1,1,1,7,8,9,11,9,9,46,0,38,5,3,5,1,5,1,5,1,3,5,5,5,5,3,3,6,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,3,1,1,1,1,1,2,60,5
"672",1490697753,3,3,3,3,3,15,11,9,8,8,8,44,0,25,2,2,3,3,3,2,2,2,4,3,4,4,8,3,3,6,51,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,3,3,4,1,1,44,3
"673",1490701307,5,2,1,1,3,12,11,11,11,11,11,55,1,30,3,1,5,5,5,5,5,1,5,1,1,5,6,5,5,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,1,1,1,3,1,61,5
"674",1490702302,1,1,1,1,1,5,10,8,4,2,9,33,1,31,1,2,4,1,4,1,3,1,4,5,5,5,5,5,5,10,23,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,4,2,5,2,2,3,2,2,64,5
"675",1490702399,3,2,3,2,3,13,8,8,6,6,7,35,1,33,3,3,5,1,5,2,3,1,3,5,4,5,5,4,4,8,46,3,2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,4,3,3,1,1,3,0,2,56,5
"676",1490702424,3,1,1,1,1,7,8,9,9,7,7,40,1,29,3,4,4,2,4,2,4,2,2,4,4,4,6,2,2,4,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,2,2,4,1,42,3
"677",1490702868,1,1,3,1,2,8,6,8,4,2,3,23,0,34,3,2,5,2,5,2,5,2,4,4,4,4,6,3,4,7,35,2,1,2,2,3,2,2,3,2,2,1,2,2,2,2,3,2,2,1,1,2,2,3,1,1,1,4,1,50,4
"678",1490702978,3,3,3,3,3,15,8,8,8,8,8,40,1,23,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,5,53,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,1,2,2,3,3,4,3,3,1,60,5
"679",1490703481,1,1,1,1,1,5,7,7,7,5,4,30,1,24,3,4,3,2,3,3,3,3,2,4,3,3,4,3,4,7,36,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,3,3,3,3,2,52,4
"680",1490703917,1,1,1,1,1,5,8,7,4,1,1,21,0,38,4,1,5,1,5,2,5,1,5,5,4,5,7,3,4,7,35,4,2,2,2,2,2,2,4,2,2,1,2,1,1,1,4,1,1,2,1,2,2,2,1,1,1,4,2,57,5
"681",1490704181,4,4,4,4,4,20,11,9,10,8,9,47,0,21,3,4,3,5,4,4,4,4,2,1,2,2,6,4,3,7,64,5,5,4,3,3,5,5,4,5,4,3,5,3,2,2,2,4,2,2,2,4,3,3,3,2,2,0,1,24,1
"682",1490704281,2,3,2,2,2,11,7,8,5,6,4,30,0,34,4,2,5,2,5,3,5,2,4,4,3,4,4,2,3,5,34,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,3,2,2,2,2,4,2,2,1,1,1,1,1,33,2
"683",1490704485,1,4,3,2,4,14,8,10,9,8,8,43,0,35,2,1,5,1,5,2,4,1,5,5,4,5,4,4,4,8,36,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,4,1,1,2,1,2,32,2
"686",1490707301,1,2,1,1,1,6,2,4,5,7,8,26,0,28,2,2,5,2,5,2,2,4,4,4,4,2,6,1,2,3,29,2,1,1,4,2,1,1,2,4,2,1,2,2,1,1,1,1,2,2,3,4,2,4,1,1,4,1,2,36,3
"687",1490708115,1,1,1,1,1,5,8,5,6,3,7,29,0,36,5,2,5,2,5,2,5,2,4,4,4,4,4,2,1,3,25,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,3,1,1,3,1,2,2,1,1,1,1,4,2,54,4
"688",1490708208,1,3,3,3,4,14,11,8,10,10,11,50,0,38,5,2,5,1,5,1,5,2,4,5,5,4,6,4,5,9,28,1,1,1,1,3,1,1,4,1,1,1,2,1,1,4,3,1,2,1,1,2,2,1,1,1,1,4,1,42,3
"689",1490708602,4,1,1,1,1,8,7,7,8,2,2,26,0,39,5,2,5,1,5,1,5,1,4,5,5,5,7,4,5,9,36,2,2,2,1,3,2,2,4,1,2,2,2,1,3,3,2,2,2,1,1,4,3,1,1,1,1,2,1,57,5
"690",1490709047,5,5,5,5,5,25,11,11,11,11,11,55,0,24,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,3,5,5,5,5,0,1,50,4
"691",1490709245,3,4,3,3,4,17,11,8,9,6,6,40,1,31,3,2,3,1,3,1,3,1,4,5,5,5,8,5,5,10,37,3,2,3,2,2,1,1,3,2,3,2,2,2,2,3,2,2,1,1,1,2,2,3,3,3,3,5,2,65,6
"694",1490709682,2,4,4,3,4,17,5,5,5,3,6,24,1,27,3,2,3,2,2,2,3,2,4,4,4,4,5,5,5,10,64,4,2,3,4,4,3,4,5,5,5,5,3,4,3,3,3,4,2,2,2,4,3,3,3,4,3,0,2,75,6
"695",1490709903,1,2,2,2,3,10,9,9,7,6,9,40,0,40,5,1,5,1,5,1,5,1,5,5,5,5,4,2,3,5,34,2,1,2,2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,2,1,4,2,1,1,1,1,2,1,65,6
"696",1490709922,2,3,1,1,1,8,5,6,7,6,5,29,1,23,2,2,2,1,2,3,3,4,4,5,3,2,6,4,4,8,37,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,3,4,2,4,4,4,3,2,1,51,4
"697",1490709987,4,4,3,3,3,17,7,6,6,7,7,33,1,19,2,4,3,3,2,4,3,4,2,3,2,2,8,4,4,8,42,3,2,2,2,3,3,3,2,3,3,2,3,3,2,3,1,2,1,1,1,2,2,4,3,4,3,5,1,55,5
"699",1490710320,1,4,4,1,2,12,11,11,9,7,4,42,0,36,4,2,5,1,5,2,5,2,4,5,4,4,5,2,4,6,55,3,1,4,5,5,4,4,5,4,4,1,4,2,1,2,5,1,2,1,1,4,2,2,1,1,1,3,2,30,2
"700",1490710354,1,2,2,1,1,7,6,1,1,2,1,11,1,16,1,5,2,1,1,5,2,3,1,5,1,3,6,4,5,9,61,3,2,3,3,3,3,3,5,5,4,3,5,3,4,5,4,3,2,3,2,4,3,5,4,5,4,0,2,54,4
"701",1490710408,4,4,4,4,4,20,11,11,11,11,11,55,1,24,1,1,1,1,1,1,1,1,5,5,5,5,10,4,4,8,85,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,4,3,5,5,5,5,0,1,29,2
"702",1490710585,4,4,3,4,3,18,6,6,6,6,6,30,1,25,4,3,3,3,3,3,3,3,3,3,3,3,7,3,3,6,63,4,3,3,4,3,5,4,3,4,4,4,3,4,4,4,3,4,2,2,2,2,3,2,3,3,3,1,1,38,3
"703",1490710616,1,2,3,1,2,9,8,9,8,9,10,44,0,36,5,1,5,1,5,3,3,1,5,5,3,5,3,4,4,8,52,4,4,4,3,3,2,2,3,3,3,4,3,3,4,3,2,2,1,2,1,2,2,1,1,1,3,4,1,28,2
"708",1490711540,4,5,4,3,3,19,7,9,8,9,8,41,1,20,2,4,1,2,1,2,2,2,2,4,4,4,7,4,5,9,68,4,5,4,4,5,4,4,3,4,4,5,4,4,5,4,3,2,1,1,1,2,2,4,5,5,4,5,1,42,3
"709",1490711681,3,2,3,3,4,15,7,6,7,7,7,34,0,36,5,1,5,5,5,1,5,1,5,1,5,5,8,4,4,8,50,3,3,2,2,4,4,3,2,3,4,3,2,3,4,3,2,3,1,1,1,4,2,1,1,1,1,4,1,46,4
"710",1490711695,1,2,2,2,4,11,11,11,8,8,10,48,0,35,3,1,4,2,5,2,5,1,5,4,4,5,7,3,4,7,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,2,3,2,1,1,2,1,64,5
"712",1490711936,1,3,1,4,2,11,5,5,2,1,2,15,1,21,1,5,5,1,1,5,2,1,1,5,1,5,5,1,2,3,28,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,5,3,1,1,1,2,2,5,1,5,4,5,1,57,5
"713",1490711943,2,4,2,2,2,12,7,10,8,9,10,44,1,11,1,5,1,3,1,5,1,4,1,3,1,2,7,3,3,6,69,4,3,3,5,5,2,5,5,5,5,2,5,2,5,5,4,4,2,2,2,4,2,5,5,5,5,1,2,47,4
"715",1490712152,1,1,1,2,3,8,2,1,1,6,7,17,0,35,5,5,5,1,5,2,5,1,1,5,4,5,4,4,4,8,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,2,1,1,1,1,2,1,68,6
"717",1490712220,5,3,2,1,4,15,7,7,7,7,7,35,1,15,2,5,1,3,1,4,2,3,1,3,2,3,6,4,4,8,58,4,2,2,2,3,2,2,5,3,4,4,4,4,4,5,5,3,2,4,2,4,3,4,5,5,4,0,1,41,3
"718",1490712242,2,4,1,1,1,9,11,8,2,6,2,29,0,39,4,1,5,1,5,1,5,1,5,5,5,5,6,5,5,10,56,1,2,2,4,3,2,4,4,5,4,5,2,2,5,2,4,5,2,1,2,4,2,2,1,1,1,2,1,43,3
"719",1490712308,3,2,3,2,3,13,7,9,4,6,11,37,0,39,4,1,5,1,5,1,5,1,5,5,5,5,5,3,3,6,19,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,1,1,51,4
"720",1490712518,1,1,1,1,1,5,5,4,7,5,5,26,1,21,3,5,4,4,2,3,4,4,1,2,3,2,5,4,4,8,39,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,3,2,4,2,0,1,72,6
"721",1490712629,1,4,4,1,4,14,6,8,1,1,4,20,1,40,5,1,5,1,5,1,5,1,5,5,5,5,5,1,2,3,19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,4,2,1,1,1,1,3,1,67,6
"722",1490712712,1,3,3,1,3,11,6,6,6,6,6,30,0,27,3,3,3,3,4,3,4,2,3,3,3,4,9,3,3,6,40,3,2,2,2,2,2,2,4,2,2,2,3,1,3,2,5,1,2,4,2,4,3,3,3,2,2,0,2,58,5
"723",1490713156,1,4,3,1,1,10,11,11,8,11,11,52,1,35,1,1,5,1,5,2,5,1,5,5,4,5,5,4,4,8,35,2,4,1,4,3,1,1,1,1,4,4,1,1,1,1,1,4,2,2,2,4,3,5,1,1,1,0,1,39,3
"725",1490713605,1,1,2,1,2,7,3,4,4,3,2,16,0,29,3,2,3,2,4,2,4,3,4,4,4,3,8,2,4,6,35,1,1,1,2,3,3,3,4,2,4,1,1,1,1,4,1,2,2,1,1,2,2,3,3,2,2,4,1,47,4
"727",1490713869,1,4,3,2,3,13,8,8,6,6,6,34,0,30,3,2,4,2,4,3,4,2,4,4,3,4,4,3,4,7,44,2,3,2,2,3,2,2,4,2,2,4,2,2,4,2,2,4,2,2,2,2,2,3,2,2,2,2,2,65,6
"728",1490713897,1,1,1,1,1,5,9,7,5,6,7,34,1,23,3,4,3,2,3,4,3,3,2,4,2,3,5,2,3,5,51,5,2,2,4,4,2,2,4,4,4,2,4,2,2,2,5,1,2,2,2,4,2,3,3,3,3,1,2,65,6
"729",1490713908,4,4,3,3,2,16,8,6,6,6,6,32,1,24,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,6,51,4,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,3,3,3,3,4,2,22,1
"730",1490713965,1,1,1,1,1,5,6,7,4,6,7,30,0,25,3,3,3,2,3,3,3,3,3,4,3,3,6,3,3,6,23,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,3,1,2,2,2,2,2,3,3,3,3,2,1,51,4
"731",1490714004,1,1,1,1,2,6,11,11,11,11,11,55,1,36,5,1,5,1,5,4,5,2,5,5,2,4,3,1,1,2,42,5,2,1,1,3,1,2,5,2,2,2,2,2,1,5,5,1,2,1,2,4,3,1,1,1,1,1,2,49,4
"732",1490714132,2,3,2,2,1,10,9,8,9,9,10,45,1,25,3,2,3,3,5,4,3,4,4,3,2,2,8,5,4,9,61,4,4,3,4,5,2,4,3,3,4,3,4,4,4,4,3,3,2,2,2,4,3,3,3,1,3,0,1,59,5
"733",1490714419,4,4,3,2,3,16,6,6,8,6,6,32,1,23,2,3,3,3,3,3,3,3,3,3,3,3,6,5,5,10,58,4,4,2,4,5,3,4,4,3,3,3,2,2,4,4,4,3,2,2,2,4,2,4,3,3,3,1,1,54,4
"734",1490714435,1,1,1,1,1,5,8,8,4,5,4,29,1,29,4,3,4,2,4,3,4,3,3,4,3,3,7,3,4,7,34,2,1,2,2,3,1,2,4,2,2,1,2,2,1,3,2,2,1,2,3,4,2,2,2,2,2,2,2,70,6
"735",1490714514,3,4,4,3,3,17,7,11,9,9,7,43,0,27,2,2,4,4,3,2,3,1,4,2,4,5,4,1,1,2,67,4,4,5,4,4,3,4,4,4,4,5,4,4,3,3,4,4,2,1,3,4,3,4,2,3,3,1,1,25,2
"736",1490714574,4,2,1,1,1,9,6,3,9,9,9,36,1,23,4,4,4,4,2,3,3,3,2,2,3,3,5,2,3,5,35,2,2,2,2,4,1,2,2,2,2,2,2,2,2,4,1,1,2,2,2,4,2,2,2,4,3,1,1,48,4
"739",1490714923,1,1,1,1,1,5,7,7,5,6,7,32,1,27,4,4,3,2,3,2,3,2,2,4,4,4,7,2,4,6,32,3,2,2,2,2,1,2,4,2,2,2,2,2,1,1,1,1,2,1,3,4,3,2,3,3,3,1,1,72,6
"740",1490715012,3,2,3,3,3,14,8,8,8,8,6,38,0,23,3,3,3,3,3,3,2,3,3,3,3,3,4,4,2,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,3,3,3,3,4,0,1,37,3
"741",1490715089,1,3,1,1,1,7,11,6,2,2,7,28,1,25,3,2,3,2,3,3,3,4,4,4,3,2,7,5,5,10,39,1,1,1,1,1,1,1,3,3,4,3,3,3,2,4,4,3,2,1,1,2,2,3,3,3,3,4,1,67,6
"743",1490715485,2,3,3,4,2,14,8,9,4,4,4,29,1,34,4,3,4,1,4,1,5,2,3,5,5,4,5,2,4,6,37,2,1,2,1,1,1,1,5,1,4,2,4,3,1,1,5,2,2,1,1,2,2,2,2,2,1,4,1,50,4
"744",1490715490,4,3,3,4,2,16,9,10,6,6,7,38,0,36,5,2,5,1,5,4,5,1,4,5,2,5,6,5,5,10,26,1,5,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,2,2,4,4,3,1,1,1,1,0,2,66,6
"747",1490715563,3,3,3,3,3,15,9,10,9,9,8,45,1,12,1,5,1,5,1,3,3,5,1,1,3,1,5,4,3,7,41,3,2,3,3,1,3,3,2,2,3,2,2,2,3,2,3,2,2,4,2,2,1,5,5,5,3,1,1,56,5
"748",1490715666,2,2,3,2,3,12,9,10,8,8,10,45,0,34,5,3,3,1,4,2,5,1,3,5,4,5,7,4,2,6,47,2,1,4,3,3,2,2,2,2,2,4,4,3,3,4,2,4,2,2,2,4,2,1,3,2,1,1,1,55,5
"750",1490715948,2,2,2,2,2,10,8,8,4,6,7,33,1,19,1,3,2,3,1,3,4,4,3,3,3,2,4,2,2,4,37,3,2,2,2,2,2,2,3,1,3,3,2,1,3,1,2,3,2,1,1,4,2,5,4,5,2,3,2,51,4
"751",1490716035,2,1,1,1,3,8,6,6,6,6,6,30,1,23,2,3,3,3,3,3,3,3,3,3,3,3,7,4,5,9,47,4,2,3,3,3,3,3,5,3,3,1,3,3,1,3,3,1,2,2,3,4,3,4,3,3,3,0,2,33,2
"753",1490716175,1,2,1,1,1,6,8,10,9,6,10,43,1,21,2,4,3,2,2,4,3,3,2,4,2,3,5,4,4,8,41,3,1,1,3,1,2,2,3,4,4,2,2,3,3,2,2,3,2,4,2,4,3,4,3,4,3,0,2,45,4
"754",1490716321,1,2,2,1,2,8,7,7,7,6,6,33,1,30,3,2,3,2,4,2,4,2,4,4,4,4,7,5,5,10,40,2,2,3,3,4,2,2,3,1,2,2,2,2,2,3,3,2,2,2,2,4,3,3,3,2,2,0,2,70,6
"756",1490716447,1,3,3,1,2,10,6,9,6,6,6,33,1,33,3,1,5,1,5,4,3,1,5,5,2,5,5,3,1,4,43,3,1,3,3,1,1,1,5,3,3,4,4,3,1,1,3,3,1,1,3,4,2,3,1,1,3,3,2,54,4
"757",1490716475,1,2,1,1,1,6,8,6,8,4,4,30,1,21,1,3,3,1,2,4,2,3,3,5,2,3,6,3,2,5,39,2,2,2,2,2,2,2,3,4,3,1,2,2,2,3,3,2,2,2,2,4,3,5,3,4,4,0,1,52,4
